name,quadrant,ring,isNew,description
Terraform,Infrastructure,Adopt,TRUE,
Docker,Infrastructure,Adopt,TRUE,
Ansible,Infrastructure,Adopt,FALSE,
Cloudflare,Infrastructure,Trial,TRUE,
IpTables,Infrastructure,Assess,FALSE,
MongoDB,Storage,Trial,TRUE,
PostgreSQL,Storage,Adopt,FALSE,
MQTT,Storage,Hold,TRUE,
RabbitMQ,Storage,Adopt,FALSE,
S3,Storage,Adopt,FALSE,
SQLLite,Storage,Hold,FALSE,
Redis,Storage,Assess,FALSE,
Rey,Tools,Assess,TRUE,
Deadpool,Tools,Assess,FALSE,
Deb packages,Tools,Hold,FALSE,
Python 3,languages-and-frameworks,Adopt,FALSE,
ReactJs,languages-and-frameworks,Adopt,FALSE,
Java,languages-and-frameworks,Adopt,FALSE,
Python 2,languages-and-frameworks,Hold,FALSE,
Golang,languages-and-frameworks,Assess,FALSE,
Bash,languages-and-frameworks,Trial,FALSE,
GraphQL,languages-and-frameworks,Adopt,FALSE,
REST,languages-and-frameworks,Adopt,FALSE,
gRPC,languages-and-frameworks,Adopt,TRUE,
JSON-RPC,languages-and-frameworks,Hold,FALSE,
Flask,languages-and-frameworks,Assess,TRUE,
Cypress,languages-and-frameworks,Assess,FALSE,
Falcon,languages-and-frameworks,Hold,FALSE,
Pyramid,languages-and-frameworks,Assess,FALSE,
Django,languages-and-frameworks,Assess,FALSE,
FastAPI,languages-and-frameworks,Hold,FALSE,
BackboneJS,languages-and-frameworks,Hold,FALSE,
